C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_19_946.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_19_946.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_19_946.jpg, 0, 0, 0, 7.79583E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_051.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_051.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_051.jpg, 0, 0, 0, 7.907479E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_156.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_156.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_156.jpg, 0, 0, 0, 7.802188E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_258.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_258.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_258.jpg, 0, 0, 0, 8.559821E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_361.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_361.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_361.jpg, 0, 0, 0, 7.887546E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_461.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_461.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_461.jpg, 0, 0, 0, 8.162804E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_566.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_566.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_566.jpg, 0, 0, 0, 7.804028E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_673.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_673.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_673.jpg, 0, 0, 0, 7.810276E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_775.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_775.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_775.jpg, 0, 0, 0, 7.841923E-05
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_877.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_877.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_877.jpg, 0, 0.0420177, 0, 0.02109058
C:\Users\Admin\Desktop\Data\IMG\center_2019_04_14_16_23_20_981.jpg, C:\Users\Admin\Desktop\Data\IMG\left_2019_04_14_16_23_20_981.jpg, C:\Users\Admin\Desktop\Data\IMG\right_2019_04_14_16_23_20_981.jpg, 0, 0.3511209, 0, 0.2591846
